id_empresa;nombre_empresa;marca;tipo_gas;tamano;medida;precio;id_comuna;nombre_comuna;id_region;nombre_region;fecha_consulta;fecha_actualizacion
licc1310101;LIPIGAS;lipigas;normal;5;kg;14000;13101;Santiago Centro;13;Metropolitana de Santiago;2022-07-21 09:30:15.894709;2022-07-20 09:30:15.894709
licc1310101;LIPIGAS;lipigas;normal;11;kg;21700;13101;Santiago Centro;13;Metropolitana de Santiago;2022-07-21 09:30:15.894709;2022-07-20 09:30:15.894709
licc1310101;LIPIGAS;lipigas;normal;15;kg;27750;13101;Santiago Centro;13;Metropolitana de Santiago;2022-07-21 09:30:15.894709;2022-07-20 09:30:15.894709
licc1310101;LIPIGAS;lipigas;normal;45;kg;86450;13101;Santiago Centro;13;Metropolitana de Santiago;2022-07-21 09:30:15.894709;2022-07-20 09:30:15.894709
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;14000;13101;Santiago Centro;13;Metropolitana de Santiago;2022-07-21 09:30:15.894709;2022-07-20 09:30:15.894709
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;21700;13101;Santiago Centro;13;Metropolitana de Santiago;2022-07-21 09:30:15.894709;2022-07-20 09:30:15.894709
licc1310101;LIPIGAS;lipigas;catalitico;15;kg;27750;13101;Santiago Centro;13;Metropolitana de Santiago;2022-07-21 09:30:15.894709;2022-07-20 09:30:15.894709
licc1310101;LIPIGAS;lipigas;catalitico;45;kg;86450;13101;Santiago Centro;13;Metropolitana de Santiago;2022-07-21 09:30:15.894709;2022-07-20 09:30:15.894709
licc1310101;LIPIGAS;lipigas;normal;5;kg;14450;15101;Arica;15;Arica y Parinacota;2022-07-21 09:30:15.894709;2022-07-20 09:30:15.894709
licc1310101;LIPIGAS;lipigas;normal;11;kg;24540;15101;Arica;15;Arica y Parinacota;2022-07-21 09:30:15.894709;2022-07-20 09:30:15.894709
licc1310101;LIPIGAS;lipigas;normal;15;kg;29500;15101;Arica;15;Arica y Parinacota;2022-07-21 09:30:15.894709;2022-07-20 09:30:15.894709
licc1310101;LIPIGAS;lipigas;normal;45;kg;104550;15101;Arica;15;Arica y Parinacota;2022-07-21 09:30:15.894709;2022-07-20 09:30:15.894709
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;10940;15101;Arica;15;Arica y Parinacota;2022-07-21 09:30:15.894709;2022-07-20 09:30:15.894709
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;19750;15101;Arica;15;Arica y Parinacota;2022-07-21 09:30:15.894709;2022-07-20 09:30:15.894709
licc1310101;LIPIGAS;lipigas;catalitico;15;kg;24500;15101;Arica;15;Arica y Parinacota;2022-07-21 09:30:15.894709;2022-07-20 09:30:15.894709
licc1310101;LIPIGAS;lipigas;catalitico;45;kg;73050;15101;Arica;15;Arica y Parinacota;2022-07-21 09:30:15.894709;2022-07-20 09:30:15.894709
licc1310101;LIPIGAS;lipigas;normal;5;kg;14450;15102;Camarones;15;Arica y Parinacota;2022-07-21 09:30:15.894709;2022-07-20 09:30:15.894709
