id_empresa;nombre_empresa;marca;tipo_gas;tamano;medida;precio;id_comuna;nombre_comuna;id_region;nombre_region;fecha_consulta;fecha_actualizacion
licc1310101;LIPIGAS;lipigas;normal;5;kg;11950;13101;Santiago Centro;13;Metropolitana de Santiago;2022-02-25 09:30:30.112818;2022-02-24 09:30:30.112818
licc1310101;LIPIGAS;lipigas;normal;11;kg;18800;13101;Santiago Centro;13;Metropolitana de Santiago;2022-02-25 09:30:30.112818;2022-02-24 09:30:30.112818
licc1310101;LIPIGAS;lipigas;normal;15;kg;25200;13101;Santiago Centro;13;Metropolitana de Santiago;2022-02-25 09:30:30.112818;2022-02-24 09:30:30.112818
licc1310101;LIPIGAS;lipigas;normal;45;kg;80600;13101;Santiago Centro;13;Metropolitana de Santiago;2022-02-25 09:30:30.112818;2022-02-24 09:30:30.112818
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;11950;13101;Santiago Centro;13;Metropolitana de Santiago;2022-02-25 09:30:30.112818;2022-02-24 09:30:30.112818
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;18800;13101;Santiago Centro;13;Metropolitana de Santiago;2022-02-25 09:30:30.112818;2022-02-24 09:30:30.112818
licc1310101;LIPIGAS;lipigas;catalitico;15;kg;25200;13101;Santiago Centro;13;Metropolitana de Santiago;2022-02-25 09:30:30.112818;2022-02-24 09:30:30.112818
licc1310101;LIPIGAS;lipigas;catalitico;45;kg;80600;13101;Santiago Centro;13;Metropolitana de Santiago;2022-02-25 09:30:30.112818;2022-02-24 09:30:30.112818
licc1310101;LIPIGAS;lipigas;normal;5;kg;12850;15101;Arica;15;Arica y Parinacota;2022-02-25 09:30:30.112818;2022-02-24 09:30:30.112818
licc1310101;LIPIGAS;lipigas;normal;11;kg;21490;15101;Arica;15;Arica y Parinacota;2022-02-25 09:30:30.112818;2022-02-24 09:30:30.112818
licc1310101;LIPIGAS;lipigas;normal;15;kg;24050;15101;Arica;15;Arica y Parinacota;2022-02-25 09:30:30.112818;2022-02-24 09:30:30.112818
licc1310101;LIPIGAS;lipigas;normal;45;kg;95900;15101;Arica;15;Arica y Parinacota;2022-02-25 09:30:30.112818;2022-02-24 09:30:30.112818
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;10940;15101;Arica;15;Arica y Parinacota;2022-02-25 09:30:30.112818;2022-02-24 09:30:30.112818
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;19750;15101;Arica;15;Arica y Parinacota;2022-02-25 09:30:30.112818;2022-02-24 09:30:30.112818
licc1310101;LIPIGAS;lipigas;catalitico;15;kg;24500;15101;Arica;15;Arica y Parinacota;2022-02-25 09:30:30.112818;2022-02-24 09:30:30.112818
licc1310101;LIPIGAS;lipigas;catalitico;45;kg;73050;15101;Arica;15;Arica y Parinacota;2022-02-25 09:30:30.112818;2022-02-24 09:30:30.112818
licc1310101;LIPIGAS;lipigas;normal;5;kg;12850;15102;Camarones;15;Arica y Parinacota;2022-02-25 09:30:30.112818;2022-02-24 09:30:30.112818
licc1310101;LIPIGAS;lipigas;normal;11;kg;21490;15102;Camarones;15;Arica y Parinacota;2022-02-25 09:30:30.112818;2022-02-24 09:30:30.112818
licc1310101;LIPIGAS;lipigas;normal;15;kg;24050;15102;Camarones;15;Arica y Parinacota;2022-02-25 09:30:30.112818;2022-02-24 09:30:30.112818
licc1310101;LIPIGAS;lipigas;normal;45;kg;107440;15102;Camarones;15;Arica y Parinacota;2022-02-25 09:30:30.112818;2022-02-24 09:30:30.112818
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;10940;15102;Camarones;15;Arica y Parinacota;2022-02-25 09:30:30.112818;2022-02-24 09:30:30.112818
