id_empresa;nombre_empresa;marca;tipo_gas;tamano;medida;precio;id_comuna;nombre_comuna;id_region;nombre_region;fecha_consulta;fecha_actualizacion
licc1310101;LIPIGAS;lipigas;normal;5;kg;12550;13101;Santiago Centro;13;Metropolitana de Santiago;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;normal;11;kg;17600;13101;Santiago Centro;13;Metropolitana de Santiago;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;normal;15;kg;22850;13101;Santiago Centro;13;Metropolitana de Santiago;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;normal;45;kg;68000;13101;Santiago Centro;13;Metropolitana de Santiago;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;12550;13101;Santiago Centro;13;Metropolitana de Santiago;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;17600;13101;Santiago Centro;13;Metropolitana de Santiago;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;catalitico;15;kg;22850;13101;Santiago Centro;13;Metropolitana de Santiago;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;catalitico;45;kg;68000;13101;Santiago Centro;13;Metropolitana de Santiago;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;normal;5;kg;13000;15101;Arica;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;normal;11;kg;20950;15101;Arica;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;normal;15;kg;22250;15101;Arica;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;normal;45;kg;87400;15101;Arica;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;10940;15101;Arica;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;19750;15101;Arica;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;catalitico;15;kg;24500;15101;Arica;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;catalitico;45;kg;73050;15101;Arica;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;normal;5;kg;13000;15102;Camarones;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;normal;11;kg;20890;15102;Camarones;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;normal;15;kg;24600;15102;Camarones;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;normal;45;kg;98940;15102;Camarones;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;10940;15102;Camarones;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;19750;15102;Camarones;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;catalitico;15;kg;24500;15102;Camarones;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;catalitico;45;kg;73050;15102;Camarones;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;normal;5;kg;13000;15201;Putre;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;normal;11;kg;20890;15201;Putre;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;normal;15;kg;24600;15201;Putre;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;normal;45;kg;98940;15201;Putre;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;10940;15201;Putre;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;19750;15201;Putre;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;catalitico;15;kg;24500;15201;Putre;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
licc1310101;LIPIGAS;lipigas;catalitico;45;kg;73050;15201;Putre;15;Arica y Parinacota;2023-05-27 09:30:15.917887;2023-05-26 09:30:15.917887
